Column,Column_Label,Column_Alias,Column_Dtype,Value_Range,Value_PreRepl,Value_PreFill,Is_Use
ID,家庭受访者个人ID(12位数字),,Str,,,,True
householdID,老年夫妇ID(10位数字),,Str,,,,True
communityID,老年夫妇所在社区ID(7位数字),,Str,,,,True
cf001,老年夫妇是否照看过孙子女,hgkcare,Cat,"{0:'No',1:'Yes'}","{'1 Yes':'Yes', '2 No':'No'}",,True
cf002_s1,老年夫妇(过去一年)是否照看过来自子女1家的孙子女,hgkcarek_1,Cat,"{0:'No',1:'Yes'}","{'0 No':'No', '1 Yes':'Yes'}",No,True
cf002_s2,老年夫妇(过去一年)是否照看过来自子女2家的孙子女,hgkcarek_2,Cat,"{0:'No',1:'Yes'}","{'0 No':'No', '2 Yes':'Yes'}",No,True
cf002_s3,老年夫妇(过去一年)是否照看过来自子女3家的孙子女,hgkcarek_3,Cat,"{0:'No',1:'Yes'}","{'0 No':'No', '3 Yes':'Yes'}",No,True
cf002_s4,老年夫妇(过去一年)是否照看过来自子女4家的孙子女,hgkcarek_4,Cat,"{0:'No',1:'Yes'}","{'0 No':'No', '4 Yes':'Yes'}",No,True
cf002_s5,老年夫妇(过去一年)是否照看过来自子女5家的孙子女,hgkcarek_5,Cat,"{0:'No',1:'Yes'}","{'0 No':'No', '5 Yes':'Yes'}",No,True
cf002_s6,老年夫妇(过去一年)是否照看过来自子女6家的孙子女,hgkcarek_6,Cat,"{0:'No',1:'Yes'}","{'0 No':'No', '6 Yes':'Yes'}",No,True
cf002_s7,老年夫妇(过去一年)是否照看过来自子女7家的孙子女,hgkcarek_7,Cat,"{0:'No',1:'Yes'}","{'0 No':'No', '7 Yes':'Yes'}",No,True
cf002_s8,老年夫妇(过去一年)是否照看过来自子女8家的孙子女,hgkcarek_8,Cat,"{0:'No',1:'Yes'}","{'0 No':'No', '8 Yes':'Yes'}",No,True
cf002_s9,老年夫妇(过去一年)是否照看过来自子女9家的孙子女,hgkcarek_9,Cat,"{0:'No',1:'Yes'}","{'0 No':'No', '9 Yes':'Yes'}",No,True
cf002_s10,老年夫妇(过去一年)是否照看过来自子女10家的孙子女,hgkcarek_10,Cat,"{0:'No',1:'Yes'}","{'0 No':'No', '10 Yes':'Yes'}",No,True
cf002_s11,老年夫妇(过去一年)是否照看过来自子女11家的孙子女,hgkcarek_11,Cat,"{0:'No',1:'Yes'}","{'0 No':'No', '11 Yes':'Yes'}",No,True
cf003_1_1_,家庭受访者(过去一年)照看来自子女1家的孙子女的平均周数/年,rgkcarew_1,Int,"(1,52)",,,True
cf003_1_2_,家庭受访者(过去一年)照看来自子女2家的孙子女的平均周数/年,rgkcarew_2,Int,"(1,52)",,,True
cf003_1_3_,家庭受访者(过去一年)照看来自子女3家的孙子女的平均周数/年,rgkcarew_3,Int,"(1,52)",,,True
cf003_1_4_,家庭受访者(过去一年)照看来自子女4家的孙子女的平均周数/年,rgkcarew_4,Int,"(1,52)",,,True
cf003_1_5_,家庭受访者(过去一年)照看来自子女5家的孙子女的平均周数/年,rgkcarew_5,Int,"(1,52)",,,True
cf003_1_6_,家庭受访者(过去一年)照看来自子女6家的孙子女的平均周数/年,rgkcarew_6,Int,"(1,52)",,,True
cf003_1_7_,家庭受访者(过去一年)照看来自子女7家的孙子女的平均周数/年,rgkcarew_7,Int,"(1,52)",,,True
cf003_1_8_,家庭受访者(过去一年)照看来自子女8家的孙子女的平均周数/年,rgkcarew_8,Int,"(1,52)",,,True
cf003_1_9_,家庭受访者(过去一年)照看来自子女9家的孙子女的平均周数/年,rgkcarew_9,Int,"(1,52)",,,True
cf003_1_10_,家庭受访者(过去一年)照看来自子女10家的孙子女的平均周数/年,rgkcarew_10,Int,"(1,52)",,,True
cf003_1_11_,家庭受访者(过去一年)照看来自子女11家的孙子女的平均周数/年,rgkcarew_11,Int,"(1,52)",,,True
cf003_2_1_,家庭受访者(过去一年)照看来自子女1家的孙子女的平均小时数/周,rgkcarewh_1,Int,"(1,140)",,,True
cf003_2_2_,家庭受访者(过去一年)照看来自子女2家的孙子女的平均小时数/周,rgkcarewh_2,Int,"(1,140)",,,True
cf003_2_3_,家庭受访者(过去一年)照看来自子女3家的孙子女的平均小时数/周,rgkcarewh_3,Int,"(1,140)",,,True
cf003_2_4_,家庭受访者(过去一年)照看来自子女4家的孙子女的平均小时数/周,rgkcarewh_4,Int,"(1,140)",,,True
cf003_2_5_,家庭受访者(过去一年)照看来自子女5家的孙子女的平均小时数/周,rgkcarewh_5,Int,"(1,140)",,,True
cf003_2_6_,家庭受访者(过去一年)照看来自子女6家的孙子女的平均小时数/周,rgkcarewh_6,Int,"(1,140)",,,True
cf003_2_7_,家庭受访者(过去一年)照看来自子女7家的孙子女的平均小时数/周,rgkcarewh_7,Int,"(1,140)",,,True
cf003_2_8_,家庭受访者(过去一年)照看来自子女8家的孙子女的平均小时数/周,rgkcarewh_8,Int,"(1,140)",,,True
cf003_2_9_,家庭受访者(过去一年)照看来自子女9家的孙子女的平均小时数/周,rgkcarewh_9,Int,"(1,140)",,,True
cf003_2_10_,家庭受访者(过去一年)照看来自子女10家的孙子女的平均小时数/周,rgkcarewh_10,Int,"(1,140)",,,True
cf003_2_11_,家庭受访者(过去一年)照看来自子女11家的孙子女的平均小时数/周,rgkcarewh_11,Int,"(1,140)",,,True
cf003_3_1_,配偶(过去一年)照看来自子女1家的孙子女的平均周数/年,sgkcarew_1,Int,"(1,52)",,,True
cf003_3_2_,配偶(过去一年)照看来自子女2家的孙子女的平均周数/年,sgkcarew_2,Int,"(1,52)",,,True
cf003_3_3_,配偶(过去一年)照看来自子女3家的孙子女的平均周数/年,sgkcarew_3,Int,"(1,52)",,,True
cf003_3_4_,配偶(过去一年)照看来自子女4家的孙子女的平均周数/年,sgkcarew_4,Int,"(1,52)",,,True
cf003_3_5_,配偶(过去一年)照看来自子女5家的孙子女的平均周数/年,sgkcarew_5,Int,"(1,52)",,,True
cf003_3_6_,配偶(过去一年)照看来自子女6家的孙子女的平均周数/年,sgkcarew_6,Int,"(1,52)",,,True
cf003_3_7_,配偶(过去一年)照看来自子女7家的孙子女的平均周数/年,sgkcarew_7,Int,"(1,52)",,,True
cf003_3_8_,配偶(过去一年)照看来自子女8家的孙子女的平均周数/年,sgkcarew_8,Int,"(1,52)",,,True
cf003_3_9_,配偶(过去一年)照看来自子女9家的孙子女的平均周数/年,sgkcarew_9,Int,"(1,52)",,,True
cf003_3_10_,配偶(过去一年)照看来自子女10家的孙子女的平均周数/年,sgkcarew_10,Int,"(1,52)",,,True
cf003_3_11_,配偶(过去一年)照看来自子女11家的孙子女的平均周数/年,sgkcarew_11,Int,"(1,52)",,,True
cf003_4_1_,配偶(过去一年)照看来自子女1家的孙子女的平均小时数/周,sgkcarewh_1,Int,"(1,140)",,,True
cf003_4_2_,配偶(过去一年)照看来自子女2家的孙子女的平均小时数/周,sgkcarewh_2,Int,"(1,140)",,,True
cf003_4_3_,配偶(过去一年)照看来自子女3家的孙子女的平均小时数/周,sgkcarewh_3,Int,"(1,140)",,,True
cf003_4_4_,配偶(过去一年)照看来自子女4家的孙子女的平均小时数/周,sgkcarewh_4,Int,"(1,140)",,,True
