Column,Column_Label,Column_Alias,Column_Dtype,Value_Range,Value_PreRepl,Value_PreFill,Is_Use
ID,家庭受访者个人ID(12位数字),,Str,,,,True
householdID,家庭ID(10位数字),,Str,,,,True
communityID,老年家庭所在社区ID(7位数字),,Str,,,,True
cf001,老年夫妇是否照看过孙子女,hgkcare,Cat,"{0:'No',1:'Yes'}","{'1 Yes':'Yes', '2 No':'No'}",,True
cf002s1,老年夫妇是否照看过来自子女1家的孙子女,hgkcarek_1,Cat,"{0:'No',1:'Yes'}",{'1 ChildName[1]':'Yes'},No,True
cf002s2,老年夫妇是否照看过来自子女2家的孙子女,hgkcarek_2,Cat,"{0:'No',1:'Yes'}",{'2 ChildName[2]':'Yes'},No,True
cf002s3,老年夫妇是否照看过来自子女3家的孙子女,hgkcarek_3,Cat,"{0:'No',1:'Yes'}",{'3 ChildName[3]':'Yes'},No,True
cf002s4,老年夫妇是否照看过来自子女4家的孙子女,hgkcarek_4,Cat,"{0:'No',1:'Yes'}",{'4 ChildName[4]':'Yes'},No,True
cf002s5,老年夫妇是否照看过来自子女5家的孙子女,hgkcarek_5,Cat,"{0:'No',1:'Yes'}",{'5 ChildName[5]':'Yes'},No,True
cf002s6,老年夫妇是否照看过来自子女6家的孙子女,hgkcarek_6,Cat,"{0:'No',1:'Yes'}",{'6 ChildName[6]':'Yes'},No,True
cf002s7,老年夫妇是否照看过来自子女7家的孙子女,hgkcarek_7,Cat,"{0:'No',1:'Yes'}",{'7 ChildName[7]':'Yes'},No,True
cf002s8,老年夫妇是否照看过来自子女8家的孙子女,hgkcarek_8,Cat,"{0:'No',1:'Yes'}",{'8 ChildName[8]':'Yes'},No,True
cf002s9,老年夫妇是否照看过来自子女9家的孙子女,hgkcarek_9,Cat,"{0:'No',1:'Yes'}",{'9 ChildName[9]':'Yes'},No,True
cf002s10,老年夫妇是否照看过来自子女10家的孙子女,hgkcarek_10,Cat,"{0:'No',1:'Yes'}",{'10 ChildName[10]':'Yes'},No,True
cf002s11,老年夫妇是否照看过来自子女11家的孙子女,hgkcarek_11,Cat,"{0:'No',1:'Yes'}",{'11 ChildName[11]':'Yes'},No,True
cf003_1_1_,家庭受访者照看来自子女1家的孙子女的平均周数/年,rgkcarew_1,Int,"(1,52)","{2.5:2,7.5:7}",,True
cf003_1_2_,家庭受访者照看来自子女2家的孙子女的平均周数/年,rgkcarew_2,Int,"(1,52)",,,True
cf003_1_3_,家庭受访者照看来自子女3家的孙子女的平均周数/年,rgkcarew_3,Int,"(1,52)",,,True
cf003_1_4_,家庭受访者照看来自子女4家的孙子女的平均周数/年,rgkcarew_4,Int,"(1,52)",,,True
cf003_1_5_,家庭受访者照看来自子女5家的孙子女的平均周数/年,rgkcarew_5,Int,"(1,52)",,,True
cf003_1_6_,家庭受访者照看来自子女6家的孙子女的平均周数/年,rgkcarew_6,Int,"(1,52)",,,True
cf003_1_7_,家庭受访者照看来自子女7家的孙子女的平均周数/年,rgkcarew_7,Int,"(1,52)",,,True
cf003_1_8_,家庭受访者照看来自子女8家的孙子女的平均周数/年,rgkcarew_8,Int,"(1,52)",,,True
cf003_1_9_,家庭受访者照看来自子女9家的孙子女的平均周数/年,rgkcarew_9,Int,"(1,52)",,,True
cf003_1_11_,家庭受访者照看来自子女11家的孙子女的平均周数/年,rgkcarew_11,Int,"(1,52)",,,True
cf003_2_1_,家庭受访者照看来自子女1家的孙子女的平均小时数/周,rgkcarewh_1,Int,"(1,140)","{-99.99:-99,0.5:1,2.5:3,3.5:4,4.5:5,10.5:11,55.5:56}",,True
cf003_2_2_,家庭受访者照看来自子女2家的孙子女的平均小时数/周,rgkcarewh_2,Int,"(1,140)","{0.5:1,3.5:4,5.5:6}",,True
cf003_2_3_,家庭受访者照看来自子女3家的孙子女的平均小时数/周,rgkcarewh_3,Int,"(1,140)",,,True
cf003_2_4_,家庭受访者照看来自子女4家的孙子女的平均小时数/周,rgkcarewh_4,Int,"(1,140)",,,True
cf003_2_5_,家庭受访者照看来自子女5家的孙子女的平均小时数/周,rgkcarewh_5,Int,"(1,140)",,,True
cf003_2_6_,家庭受访者照看来自子女6家的孙子女的平均小时数/周,rgkcarewh_6,Int,"(1,140)",,,True
cf003_2_7_,家庭受访者照看来自子女7家的孙子女的平均小时数/周,rgkcarewh_7,Int,"(1,140)",,,True
cf003_2_8_,家庭受访者照看来自子女8家的孙子女的平均小时数/周,rgkcarewh_8,Int,"(1,140)",,,True
cf003_2_9_,家庭受访者照看来自子女9家的孙子女的平均小时数/周,rgkcarewh_9,Int,"(1,140)",,,True
cf003_2_11_,家庭受访者照看来自子女11家的孙子女的平均小时数/周,rgkcarewh_11,Int,"(1,140)",,,True
cf003_3_1_,家庭受访者的配偶照看来自子女1家的孙子女的平均周数/年,sgkcarew_1,Int,"(1,52)","{2.5:3,7.5:8}",,True
cf003_3_2_,家庭受访者的配偶照看来自子女2家的孙子女的平均周数/年,sgkcarew_2,Int,"(1,52)",,,True
cf003_3_3_,家庭受访者的配偶照看来自子女3家的孙子女的平均周数/年,sgkcarew_3,Int,"(1,52)",,,True
cf003_3_4_,家庭受访者的配偶照看来自子女4家的孙子女的平均周数/年,sgkcarew_4,Int,"(1,52)",,,True
cf003_3_5_,家庭受访者的配偶照看来自子女5家的孙子女的平均周数/年,sgkcarew_5,Int,"(1,52)",,,True
cf003_3_6_,家庭受访者的配偶照看来自子女6家的孙子女的平均周数/年,sgkcarew_6,Int,"(1,52)",,,True
cf003_3_7_,家庭受访者的配偶照看来自子女7家的孙子女的平均周数/年,sgkcarew_7,Int,"(1,52)",,,True
cf003_3_8_,家庭受访者的配偶照看来自子女8家的孙子女的平均周数/年,sgkcarew_8,Int,"(1,52)",,,True
cf003_3_9_,家庭受访者的配偶照看来自子女9家的孙子女的平均周数/年,sgkcarew_9,Int,"(1,52)",,,True
cf003_3_11_,家庭受访者的配偶照看来自子女11家的孙子女的平均周数/年,sgkcarew_11,Int,"(1,52)",,,True
cf003_4_1_,家庭受访者的配偶照看来自子女1家的孙子女的平均小时数/周,sgkcarewh_1,Int,"(1,140)","{0.5:1,1.5:2,3.5:4,4.5:5,7.5:8,10.5:11,38.5:39,55.5:56}",,True
cf003_4_2_,家庭受访者的配偶照看来自子女2家的孙子女的平均小时数/周,sgkcarewh_2,Int,"(1,140)","{0.5:1,3.5:4,5.5:6}",,True
cf003_4_3_,家庭受访者的配偶照看来自子女3家的孙子女的平均小时数/周,sgkcarewh_3,Int,"(1,140)","{2.5:3,3.5:4}",,True
cf003_4_4_,家庭受访者的配偶照看来自子女4家的孙子女的平均小时数/周,sgkcarewh_4,Int,"(1,140)",,,True
