Column,Column_Label,Column_Alias,Column_Dtype,Value_Range,Value_PreRepl,Value_PreFill,Is_Use
ID,家庭受访者个人ID(12位数字),,Str,,,,True
householdID,受访家庭ID(10位数字),,Str,,,,True
communityID,受访社区ID(7位数字),,Str,,,,True
childID,子女ID(2位数字),,Str,,,,True
alive,子女是否健在,kalive,Cat,"{0:'No',1:'Yes'}","{'1 Alive':'Yes', '2 Passed Away':'No'}",,True
age,子女的年龄(原始),kage_raw,Int,"(0,100)",,,True
byear,子女的出生年份(原始),kbyear_raw,Int,"(1920,2015)",,,True
gender,子女的性别,kgender,Cat,"{0:'Male',1:'Female'}","{'1 Male':'Male','2 Female':'Female'}",,True
cb053,子女的居住类型(与家庭受访者距离),klivedis,Cat,"{0:'Same house',1:'Another house but the same block',2:'Another block but the same country',3:'Another country'}","{'1 This Household, And Economicly Dependent':'Same house', '2 This Household, But Economicly Independent':'Same house','3 The Same Or Adjacent Dwelling/Courtyard With You':'Another house but the same block', ""4 Another Household In Your Permanent Address's Village/Neighorhood"":'Another block but the same country',""5 Another Village/Neighborhood In Your Permanent Address's County/City/District"":'Another block but the same country', '6 Other':'Another block but the same country', '7 Abroad':'Another country'}",,True
cb054,子女的居住类型(城乡),kliveur,Cat,"{0:'Urban',1:'Rural'}","{'1 Main City Zone':'Urban','2 Combination Zone Between Urban And Rural Areas':'Urban','3 The Town Center':'Rural', '4 ZhenXiang Area':'Rural','5 Special Area':'Rural','6 Township Central':'Rural', '7 Village':'Rural'}",,True
cb055,子女的户口类型(4分类),khukou,Cat,"{0:'Agricultural hukou',1:'Non-agricultural hukou',2:'Unified residency hukou',3:'Do not have hukou'}","{'1 Agricultural Hukou':'Agricultural hukou','2 Non-Agricultural Hukou':'Non-agricultural hukou','3 Unified Residency Hukou':'Unified residency hukou', '4 Does Not Have Hukou':'Do not have hukou'}",,True
sta,子女的在学在业状况,kdostat,Cat,"{0:'Studying',1:'Working',2:'Studying while working',3:'Neither studying nor working'}","{'1 Studying In The School':'Studying','2 Working':'Working', '3 Studying While Working':'Studying while working', '4 Neither Studying Nor Working':'Neither studying nor working'}",,True
cb052_w3,子女的受教育程度(10分类),keduc10,Cat,"{0:'No formal education illiterate',1:'Did not finish primary school but capable of reading and/or writing',2:'Sishu',3:'Elementary school',4:'Middle school',5:'High school',6:'Vocational school',7:'Two/Three Year College/Associate degree',8:""Four Year College/Bachelor's degree"",9:'Post-graduated(Master/PhD)'}","{'1 No formal education illiterate':'No formal education illiterate','2 Did not finish primary school but capable of reading or writing':'Did not finish primary school but capable of reading and/or writing','3 Sishu/home school':'Sishu','4 Elementary school':'Elementary school','5 Middle school':'Middle school','6 High school':'High school','7 Vocational school':'Vocational school','8 Two-/Three-Year College / Associate degree':'Two/Three Year College/Associate degree','9 Four-Year College / Bachelors degree':""Four Year College/Bachelor's degree"",'10 Post-graduate, Masters degree':'Post-graduated(Master/PhD)','11 Post-graduate, doctoral degree/Ph.D.':'Post-graduated(Master/PhD)'}",,True
cb063,子女的婚姻状况,kmstat,Cat,"{0:'Married',1:'Partnered',2:'Separated',3:'Divorced',4:'Widowed',5:'Never married'}","{'1 Married With Spouse At Present':'Married','2 Married But Not Living With Spouse Temporarily':'Partnered','3 Separated':'Separated', '4 Divorced':'Divorced', '5 Widowed':'Widowed', '6 Never Married':'Never married', '7 Cohabitated':'Partnered'}",,True
cb065,子女的子女数,kkidn,Int,"(0,25)",,,True
cb066,子女的子女数(16岁以下),kkid16n,Int,"(0,25)",,,True
cb069,子女及其配偶的年收入类别(当年RMB),khinc,Cat,"{0:'0',1:'(0,2k)',2:'[2k,5k)',3:'[5k,10k)',4:'[10k,20k)',5:'[20k,50k)',6:'[50k,100k)' ,7:'[100k,150k)', 8:'[150k,200k)', 9:'[200k,300k)',10:'[300k,oo)'}","{'1 No Income':'0','2 Less Than 2000 Yuan':'(0,2k)','3 2000-5000 Yuan':'[2k,5k)', '4 5000-10000 Yuan':'[5k,10k)','5 10000-20000 Yuan':'[10k,20k)','6 20000-30000 Yuan':'[20k,50k)','7 30000-50000 Yuan':'[20k,50k)','8 50000-100000 Yuan':'[50k,100k)' ,'9 100000-150000 Yuan':'[100k,150k)', '10 150000-200000 Yuan':'[150k,200k)', '11 200000-300000 Yuan':'[200k,300k)','12 more than 300000 Yuan':'[300k,oo)'}",,True
cb081,子女的出生地,k3bplace_c,Str,,,,True
