Column,Column_Label,Column_Alias,Column_Dtype,Value_Range,Value_PreRepl,Value_PreFill,Is_Use
ID,家庭受访者个人ID(11位数字),,Str,,,,True
householdID,受访家庭ID(9位数字),,Str,,,,True
communityID,受访社区ID(7位数字),,Str,,,,True
childID,子女ID(2位数字),,Str,,,,True
XChildCat,子女的血缘类型,kblood,Cat,"{0:'Both biological',1:'FamR biological',2:'Spouse biological',3:'Adopted/Foster',4:'Not our child'}","{'1 Biological Child of My Spouse and Me':'Both biological', '2 Biological Child of Me, but not My Spouse':'FamR biological', '3 Biological Child of My Spouse, but not Me':'Spouse biological', '4 Adopted or Foster Child of My spouse or Me':'Adopted/Foster'}",,True
cb049,子女的性别(家户外),kgender_out,Cat,"{0:'Male',1:'Female'}","{'1 Male':'Male', '2 Female':'Female'}",,True
a002,子女的性别(家户内),kgender_in,Cat,"{0:'Male',1:'Female'}","{'1 Male':'Male', '2 Female':'Female'}",,True
cb051_1,子女的出生年份(家户外),kbyear_out,Int,"(1920,2011)",,,True
a003_1,子女的出生年份(家户内),kbyear_in,Int,"(1920,2011)",,,True
cb053,"子女的居住类型(与家庭受访者距离,家户外)",klivedis_out,Cat,"{0:'Same house',1:'Another house but the same block',2:'Another block but the same country',3:'Another country'}","{ '1 This Household, but Economicly Independent':'Same house', '2 The Same or Adjacent Dwelling/Courtyard with Me':'Another house but the same block',  '3 Another Household in This Village/Neighborhood': 'Another block but the same country', '4 Another Village/Neighborhood in This County/City':'Another block but the same country', '5 Another County/City in This Province':'Another block but the same country', '6 Another Province':'Another block but the same country', '7 Aborad':'Another country'}",,True
a006,"子女的居住类型(与家庭受访者距离,家户内)",klivedis_in,Cat,"{0:'Same house',1:'Another house but the same block',2:'Another block but the same country',3:'Another country'}",{'7 Child':'Same house'},,True
cb054,"子女的居住类型(城乡,家户外)",kliveur_out,Cat,"{0:'Urban',1:'Rural'}","{'1 City':'Urban','2 County':'Urban', '3 Town':'Rural', '4 Village':'Rural'}",,True
cb055,"子女的户口类型(4分类,家户外)",khukou4_out,Cat,"{0:'Agricultural hukou',1:'Non-agricultural hukou',2:'Unified residency hukou',3:'Do not have hukou'}","{'1 Agriculture Hukou':'Agricultural hukou','2 Non-Agriculture Hukou':'Non-agricultural hukou','3 Unified Residency Hukou':'Unified residency hukou', '4 Does not Have Hukou':'Do not have hukou'}",,True
a009,"子女的户口类型(4分类,家户内)",khukou4_in,Cat,"{0:'Agricultural hukou',1:'Non-agricultural hukou',2:'Unified residency hukou',3:'Do not have hukou'}","{'1 Agriculture Hukou':'Agricultural hukou','2 Non-Agriculture Hukou':'Non-agricultural hukou','3 Unified Residency Hukou':'Unified residency hukou', '4 Do not Have Hukou':'Do not have hukou'}",,True
cb058,子女是否正在上学(家户外),kschool_out,Cat,"{0:'No',1:'Yes'}","{'1 Yes':'Yes','2 No':'No'}",,True
a013,子女是否正在上学(家户内),kschool_in,Cat,"{0:'No',1:'Yes'}","{'1 Yes':'Yes','2 No':'No'}",,True
cb060,"子女的受教育程度(10分类,家户外)",keduc10_out,Cat,"{0:'No formal education illiterate',1:'Did not finish primary school but capable of reading and/or writing',2:'Sishu',3:'Elementary school',4:'Middle school',5:'High school',6:'Vocational school',7:'Two/Three Year College/Associate degree',8:""Four Year College/Bachelor's degree"",9:'Post-graduated(Master/PhD)',}","{'1 No Formal Education':'No formal education illiterate','2 Capable of Reading or Writing':'Did not finish primary school but capable of reading and/or writing','3 Sishu/Home School':'Sishu','4 Elementary School':'Elementary school','5 Middle School':'Middle school', '6 High School':'High school','7 Vocational School':'Vocational school','8 Two-/Three-Year College':'Two/Three Year College/Associate degree',""9 Bachelor's Degree"":""Four Year College/Bachelor's degree"",""10 Post-graduate, Master's Degree"":'Post-graduated(Master/PhD)','11 Post-graduate, Doctoral Degree':'Post-graduated(Master/PhD)'}",,True
a015,"子女的受教育程度(10分类,家户内)",keduc10_in,Cat,"{0:'No formal education illiterate',1:'Did not finish primary school but capable of reading and/or writing',2:'Sishu',3:'Elementary school',4:'Middle school',5:'High school',6:'Vocational school',7:'Two/Three Year College/Associate degree',8:""Four Year College/Bachelor's degree"",9:'Post-graduated(Master/PhD)',}","{'1 No Formal Education':'No formal education illiterate','2 Capable of Reading or Writing':'Did not finish primary school but capable of reading and/or writing','3 Sishu/Home School':'Sishu','4 Elementary School':'Elementary school','5 Middle School':'Middle school', '6 High School':'High school','7 Vocational School':'Vocational school','8 Two-/Three-Year College':'Two/Three Year College/Associate degree',""9 Bachelor's Degree"":""Four Year College/Bachelor's degree"",""10 Post-graduate, Master's Degree"":'Post-graduated(Master/PhD)','11 Post-graduate, Doctoral Degree':'Post-graduated(Master/PhD)'}",,True
cb063,子女的婚姻状况(家户外),kmstat_out,Cat,"{0:'Married',1:'Partnered',2:'Separated',3:'Divorced',4:'Widowed',5:'Never married'}","{'1 Married with Spouse Present':'Married','2 Married but not Living with Spouse Temporarily':'Partnered','3 Separated':'Separated','4 Divorced':'Divorced','5 Widowed':'Widowed','6 Never Married':'Never married'}",,True
a004,子女的婚姻状况(家户内),kmstat_in,Cat,"{0:'Married',1:'Partnered',2:'Separated',3:'Divorced',4:'Widowed',5:'Never married'}","{'1 Married with Spouse Present':'Married','2 Married but not Living with Spouse Temporarily':'Partnered','3 Separated':'Separated','4 Divorced':'Divorced','5 Widowed':'Widowed','6 Never Married':'Never married'}",,True
a005,子女是否未婚同居(家户内),kpartner_in,Cat,"{0:'No',1:'Yes'}","{'1 Yes':'Yes', '2 No':'No'}",,True
cb065,子女的儿子数,ksonn,Int,"(0,25)",,,True
cb066,子女的儿子数(16岁+),kson16pn,Int,"(0,25)",,,True
cb067,子女的女儿数,kdaun,Int,"(0,25)",,,True
cb068,子女的女儿数(16岁+),kdau16pn,Int,"(0,25)",,,True
cb069,子女及其配偶的年收入类别(当年RMB),khinc,Cat,"{0:'0',1:'(0,2k)',2:'[2k,5k)',3:'[5k,10k)',4:'[10k,20k)',5:'[20k,50k)',6:'[50k,100k)',7:'[100k,150k)',8:'[150k,200k)',9:'[200k,300k)',10:'[300k,oo)'}","{'1 None':'0','2 under 2000 Yuan':'(0,2k)','3 2000-5000 Yuan':'[2k,5k)','4 5000-10000 Yuan':'[5k,10k)','5 10000-20000 Yuan':'[10k,20k)','6 20000-50000 Yuan':'[20k,50k)','7':'[50k,100k)','8':'[100k,150k)','9':'[150k,200k)','10':'[200k,300k)','11':'[300k,oo)'}",,True
cb070,子女是否正在工作,kwork,Cat,"{0:'No',1:'Yes'}","{'1 Yes':'Yes', '2 No':'No'}",,True
cb074,子女是否曾经工作过,kworkev,Cat,"{0:'No',1:'Yes'}","{'1 Yes':'Yes', '2 No':'No'}",,True
cb081,子女的出生地,k1bplace_c,Str,,,,True
