Column,Column_Label,Column_Alias,Column_Dtype,Value_Range,Value_PreRepl,Value_PreFill,Is_Use
ID,家庭受访者个人ID,,Str,,,,True
householdID,家庭ID,,Str,,,,True
communityID,家庭所在社区ID,,Str,,,,True
cf001,家庭受访者(或配偶)是否照看过孙辈,hgkcare,Cat,"{0:'No',1:'Yes'}","{'1 Yes':'Yes','2 No':'No'}",,True
cf002s1,家庭受访者(或配偶)是否照看过来自子女1家的孙辈,hgkcarek_1,Cat,"{0:'No',1:'Yes'}","{'1 HMemberChildren[1]':'Yes'}",No,True
cf002s2,家庭受访者(或配偶)是否照看过来自子女2家的孙辈,hgkcarek_2,Cat,"{0:'No',1:'Yes'}","{'2 HMemberChildren[2]':'Yes'}",No,True
cf002s3,家庭受访者(或配偶)是否照看过来自子女3家的孙辈,hgkcarek_3,Cat,"{0:'No',1:'Yes'}","{'3 HMemberChildren[3]':'Yes'}",No,True
cf002s4,家庭受访者(或配偶)是否照看过来自子女4家的孙辈,hgkcarek_4,Cat,"{0:'No',1:'Yes'}","{'4 HMemberChildren[4]':'Yes'}",No,True
cf002s5,家庭受访者(或配偶)是否照看过来自子女5家的孙辈,hgkcarek_5,Cat,"{0:'No',1:'Yes'}","{'5 HMemberChildren[5]':'Yes'}",No,True
cf002s6,家庭受访者(或配偶)是否照看过来自子女6家的孙辈,hgkcarek_6,Cat,"{0:'No',1:'Yes'}","{'6 HMemberChildren[6]':'Yes'}",No,True
cf002s7,家庭受访者(或配偶)是否照看过来自子女7家的孙辈,hgkcarek_7,Cat,"{0:'No',1:'Yes'}","{'7 HMemberChildren[7]':'Yes'}",No,True
cf002s8,家庭受访者(或配偶)是否照看过来自子女8家的孙辈,hgkcarek_8,Cat,"{0:'No',1:'Yes'}","{'8 HMemberChildren[8]':'Yes'}",No,True
cf002s9,家庭受访者(或配偶)是否照看过来自子女9家的孙辈,hgkcarek_9,Cat,"{0:'No',1:'Yes'}",,No,True
cf002s10,家庭受访者(或配偶)是否照看过来自子女10家的孙辈,hgkcarek_10,Cat,"{0:'No',1:'Yes'}",,No,True
cf002s11,家庭受访者(或配偶)是否照看过来自子女11家的孙辈,hgkcarek_11,Cat,"{0:'No',1:'Yes'}",,No,True
cf002s12,家庭受访者(或配偶)是否照看过来自子女12家的孙辈,hgkcarek_12,Cat,"{0:'No',1:'Yes'}",,No,True
cf002s13,家庭受访者(或配偶)是否照看过来自子女13家的孙辈,hgkcarek_13,Cat,"{0:'No',1:'Yes'}",,No,True
cf002s14,家庭受访者(或配偶)是否照看过来自子女14家的孙辈,hgkcarek_14,Cat,"{0:'No',1:'Yes'}",,No,True
cf002s15,家庭受访者(或配偶)是否照看过来自子女15家的孙辈,hgkcarek_15,Cat,"{0:'No',1:'Yes'}",,No,True
cf002s16,家庭受访者(或配偶)是否照看过来自子女16家的孙辈,hgkcarek_16,Cat,"{0:'No',1:'Yes'}",,No,True
cf002s17,家庭受访者(或配偶)是否照看过来自子女17家的孙辈,hgkcarek_17,Cat,"{0:'No',1:'Yes'}",,No,True
cf002s18,家庭受访者(或配偶)是否照看过来自子女18家的孙辈,hgkcarek_18,Cat,"{0:'No',1:'Yes'}",,No,True
cf002s19,家庭受访者(或配偶)是否照看过来自子女19家的孙辈,hgkcarek_19,Cat,"{0:'No',1:'Yes'}",,No,True
cf002s20,家庭受访者(或配偶)是否照看过来自子女20家的孙辈,hgkcarek_20,Cat,"{0:'No',1:'Yes'}",,No,True
